activity_id,flavor_id,date_key,date,entity_key,category_key,location_key,metric1,metric2,status,notes
222,baseball,20230831,2023-08-31,alvarez,hou,dodger,4,2,Played,
223,baseball,20230902,2023-09-02,acuna,atl,yankee,0,0,Played,
224,baseball,20230903,2023-09-03,judge,nyy,truist,0,2,Played,
225,baseball,20230905,2023-09-05,soto,nyy,yankee,5,1,Played,
226,baseball,20230906,2023-09-06,betts,lad,minute,1,0,Played,
227,baseball,20230908,2023-09-08,ohtani,lad,minute,5,0,Played,
228,baseball,20230909,2023-09-09,alvarez,hou,truist,3,1,Played,
229,baseball,20230911,2023-09-11,judge,nyy,yankee,5,,Played,
230,baseball,20230913,2023-09-13,betts,lad,yankee,3,1,Played,
231,baseball,20230914,2023-09-14,ohtani,lad,minute,4,1,Played,
232,baseball,20230916,2023-09-16,freeman,lad,truist,1,1,Played,
233,baseball,20230917,2023-09-17,soto,nyy,minute,0,2,Postponed,
234,baseball,20230919,2023-09-19,betts,lad,yankee,5,2,Played,
235,baseball,20230920,2023-09-20,alvarez,hou,minute,0,1,Played,
236,baseball,20230922,2023-09-22,freeman,lad,truist,2,1,Played,
237,baseball,20230923,2023-09-23,alvarez,hou,yankee,0,1,Played,
238,baseball,20230925,2023-09-25,freeman,lad,yankee,4,0,Played,
239,baseball,20230926,2023-09-26,ohtani,lad,truist,1,2,Played,
240,baseball,20230928,2023-09-28,judge,nyy,dodger,0,0,Played,
241,baseball,20240319,2024-03-19,acuna,atl,minute,2,1,Played,
242,baseball,20240320,2024-03-20,freeman,lad,yankee,1,1,Played,
243,baseball,20240322,2024-03-22,freeman,lad,truist,0,2,Played,
244,baseball,20240323,2024-03-23,alvarez,hou,yankee,3,1,Played,
245,baseball,20240325,2024-03-25,acuna,atl,yankee,1,2,Played,
246,baseball,20240327,2024-03-27,freeman,lad,dodger,0,1,Played,
247,baseball,20240328,2024-03-28,judge,nyy,truist,0,1,Postponed,
248,baseball,20240330,2024-03-30,betts,lad,yankee,1,1,Played,
249,baseball,20240401,2024-04-01,betts,lad,yankee,4,2,Played,
250,baseball,20240402,2024-04-02,soto,nyy,truist,5,0,Played,
251,baseball,20240404,2024-04-04,ohtani,lad,minute,5,1,Played,
252,baseball,20240405,2024-04-05,freeman,lad,minute,0,0,Postponed,
253,baseball,20240407,2024-04-07,ohtani,lad,yankee,0,,Postponed,
254,baseball,20240409,2024-04-09,soto,nyy,yankee,0,0,Postponed,
255,baseball,20240410,2024-04-10,alvarez,hou,truist,1,1,Played,
256,baseball,20240412,2024-04-12,alvarez,hou,minute,0,0,Postponed,
257,baseball,20240414,2024-04-14,ohtani,lad,dodger,4,1,Played,
258,baseball,20240415,2024-04-15,alvarez,hou,dodger,4,,Played,
259,baseball,20240417,2024-04-17,soto,nyy,minute,0,2,Postponed,
260,baseball,20240418,2024-04-18,ohtani,lad,dodger,1,1,Played,
261,baseball,20240420,2024-04-20,alvarez,hou,yankee,2,1,Played,
262,baseball,20240422,2024-04-22,ohtani,lad,dodger,4,,Played,
263,baseball,20240423,2024-04-23,acuna,atl,dodger,0,1,Postponed,
264,baseball,20240425,2024-04-25,betts,lad,dodger,0,2,Played,
265,baseball,20240427,2024-04-27,judge,nyy,yankee,0,2,Postponed,
266,baseball,20240428,2024-04-28,betts,lad,truist,1,,Played,
267,baseball,20240430,2024-04-30,ohtani,lad,minute,4,0,Played,
268,baseball,20240501,2024-05-01,acuna,atl,yankee,0,,Played,
269,baseball,20240503,2024-05-03,betts,lad,minute,4,0,Played,
270,baseball,20240505,2024-05-05,freeman,lad,minute,2,0,Played,
271,baseball,20240506,2024-05-06,judge,nyy,truist,1,,Played,
272,baseball,20240508,2024-05-08,soto,nyy,yankee,2,0,Played,
273,baseball,20240510,2024-05-10,soto,nyy,truist,3,1,Played,
274,baseball,20240511,2024-05-11,acuna,atl,minute,4,2,Played,
275,baseball,20240513,2024-05-13,alvarez,hou,dodger,3,1,Played,
276,baseball,20240514,2024-05-14,ohtani,lad,yankee,3,2,Played,
277,baseball,20240516,2024-05-16,alvarez,hou,dodger,0,,Played,
278,baseball,20240518,2024-05-18,alvarez,hou,minute,0,1,Postponed,
279,baseball,20240519,2024-05-19,acuna,atl,dodger,1,2,Played,
280,baseball,20240521,2024-05-21,betts,lad,minute,5,0,Played,
281,baseball,20240523,2024-05-23,soto,nyy,truist,0,2,Postponed,
282,baseball,20240524,2024-05-24,betts,lad,dodger,0,2,Postponed,
283,baseball,20240526,2024-05-26,soto,nyy,truist,0,1,Postponed,
284,baseball,20240527,2024-05-27,alvarez,hou,dodger,3,2,Played,
285,baseball,20240529,2024-05-29,soto,nyy,dodger,5,2,Played,
286,baseball,20240531,2024-05-31,acuna,atl,minute,1,1,Played,
287,baseball,20240601,2024-06-01,betts,lad,minute,0,0,Postponed,
288,baseball,20240603,2024-06-03,freeman,lad,minute,0,2,Played,
289,baseball,20240605,2024-06-05,acuna,atl,yankee,4,2,Played,
290,baseball,20240606,2024-06-06,acuna,atl,dodger,2,0,Played,
291,baseball,20240608,2024-06-08,judge,nyy,minute,3,0,Played,
292,baseball,20240609,2024-06-09,freeman,lad,truist,5,0,Played,
293,baseball,20240611,2024-06-11,soto,nyy,truist,2,1,Played,
294,baseball,20240613,2024-06-13,judge,nyy,dodger,4,,Played,
295,baseball,20240614,2024-06-14,freeman,lad,dodger,5,2,Played,
296,baseball,20240616,2024-06-16,ohtani,lad,minute,0,1,Postponed,
297,baseball,20240618,2024-06-18,acuna,atl,truist,1,2,Played,
298,baseball,20240619,2024-06-19,freeman,lad,minute,4,0,Played,
299,baseball,20240621,2024-06-21,freeman,lad,dodger,0,1,Played,
300,baseball,20240622,2024-06-22,freeman,lad,dodger,0,1,Played,
301,baseball,20240624,2024-06-24,freeman,lad,yankee,0,1,Postponed,
302,baseball,20240626,2024-06-26,betts,lad,minute,0,1,Postponed,
303,baseball,20240627,2024-06-27,judge,nyy,yankee,0,2,Postponed,
304,baseball,20240629,2024-06-29,acuna,atl,minute,4,0,Played,
305,baseball,20240701,2024-07-01,judge,nyy,minute,2,0,Played,
306,baseball,20240702,2024-07-02,betts,lad,dodger,1,0,Played,
307,baseball,20240704,2024-07-04,freeman,lad,minute,0,0,Played,
308,baseball,20240705,2024-07-05,betts,lad,dodger,0,0,Played,
309,baseball,20240707,2024-07-07,freeman,lad,dodger,0,0,Played,
310,baseball,20240709,2024-07-09,soto,nyy,dodger,0,1,Postponed,
311,baseball,20240710,2024-07-10,betts,lad,truist,3,0,Played,
312,baseball,20240712,2024-07-12,freeman,lad,yankee,4,1,Played,
313,baseball,20240714,2024-07-14,soto,nyy,minute,0,2,Played,
314,baseball,20240715,2024-07-15,alvarez,hou,truist,0,1,Played,
315,baseball,20240717,2024-07-17,betts,lad,dodger,5,1,Played,
316,baseball,20240718,2024-07-18,acuna,atl,yankee,4,0,Played,
317,baseball,20240720,2024-07-20,judge,nyy,yankee,4,1,Played,
318,baseball,20240722,2024-07-22,ohtani,lad,truist,0,,Postponed,
319,baseball,20240723,2024-07-23,freeman,lad,yankee,0,0,Postponed,
320,baseball,20240725,2024-07-25,acuna,atl,minute,4,1,Played,
321,baseball,20240727,2024-07-27,betts,lad,truist,0,2,Postponed,
322,baseball,20240728,2024-07-28,alvarez,hou,truist,0,0,Played,
323,baseball,20240730,2024-07-30,ohtani,lad,minute,0,,Postponed,
324,baseball,20240731,2024-07-31,soto,nyy,yankee,3,2,Played,
325,baseball,20240802,2024-08-02,ohtani,lad,minute,2,1,Played,
326,baseball,20240804,2024-08-04,acuna,atl,minute,0,0,Postponed,
327,baseball,20240805,2024-08-05,ohtani,lad,dodger,0,2,Postponed,
328,baseball,20240807,2024-08-07,alvarez,hou,dodger,1,1,Played,
329,baseball,20240809,2024-08-09,acuna,atl,dodger,0,2,Played,
330,baseball,20240810,2024-08-10,alvarez,hou,minute,0,0,Postponed,
331,baseball,20240812,2024-08-12,alvarez,hou,dodger,1,1,Played,
332,baseball,20240813,2024-08-13,judge,nyy,minute,3,0,Played,
333,baseball,20240815,2024-08-15,soto,nyy,truist,0,2,Postponed,
334,baseball,20240817,2024-08-17,alvarez,hou,yankee,4,2,Played,
335,baseball,20240818,2024-08-18,soto,nyy,truist,1,0,Played,
336,baseball,20240820,2024-08-20,betts,lad,yankee,1,2,Played,
337,baseball,20240822,2024-08-22,soto,nyy,dodger,1,0,Played,
338,baseball,20240823,2024-08-23,soto,nyy,yankee,1,1,Played,
339,baseball,20240825,2024-08-25,ohtani,lad,truist,1,0,Played,
340,baseball,20240826,2024-08-26,betts,lad,truist,5,0,Played,
341,baseball,20240828,2024-08-28,freeman,lad,truist,4,,Played,
342,baseball,20240830,2024-08-30,betts,lad,minute,5,2,Played,
343,baseball,20240831,2024-08-31,freeman,lad,yankee,4,1,Played,
344,baseball,20240902,2024-09-02,soto,nyy,minute,0,2,Postponed,
345,baseball,20240904,2024-09-04,ohtani,lad,dodger,1,1,Played,
346,baseball,20240905,2024-09-05,freeman,lad,truist,3,0,Played,
347,baseball,20240907,2024-09-07,acuna,atl,truist,0,2,Postponed,
348,baseball,20240908,2024-09-08,acuna,atl,truist,0,1,Postponed,
349,baseball,20240910,2024-09-10,acuna,atl,minute,0,2,Played,
350,baseball,20240912,2024-09-12,betts,lad,truist,0,1,Postponed,
351,baseball,20240913,2024-09-13,betts,lad,dodger,4,0,Played,
352,baseball,20240915,2024-09-15,soto,nyy,minute,1,1,Played,
353,baseball,20240917,2024-09-17,betts,lad,yankee,0,0,Postponed,
354,baseball,20240918,2024-09-18,alvarez,hou,dodger,1,2,Played,
355,baseball,20240920,2024-09-20,acuna,atl,dodger,0,0,Postponed,
356,baseball,20240921,2024-09-21,soto,nyy,minute,0,,Postponed,
357,baseball,20240923,2024-09-23,betts,lad,truist,5,1,Played,
358,baseball,20240925,2024-09-25,soto,nyy,truist,2,1,Played,
359,baseball,20240926,2024-09-26,freeman,lad,yankee,0,2,Played,
360,baseball,20240928,2024-09-28,freeman,lad,minute,4,1,Played,
1001,nfl,20220907,2022-09-07,stroud,hou,mandt,360,5,Played,
1002,nfl,20220913,2022-09-13,hurts,phi,highmark,168,3,Played,
1003,nfl,20220920,2022-09-20,jackson,bal,mandt,288,,Played,
1004,nfl,20220927,2022-09-27,allen,buf,highmark,0,0,Cancelled,
1005,nfl,20221004,2022-10-04,mahomes,kc,arrowhead,403,5,Played,
1006,nfl,20221010,2022-10-10,stroud,hou,lincoln,298,2,Played,
1007,nfl,20221017,2022-10-17,hurts,phi,lincoln,0,2,Cancelled,
1008,nfl,20221024,2022-10-24,allen,buf,arrowhead,0,0,Cancelled,
1009,nfl,20221031,2022-10-31,stroud,hou,highmark,280,4,Played,
1010,nfl,20221107,2022-11-07,stroud,hou,highmark,233,3,Played,
1011,nfl,20221113,2022-11-13,jackson,bal,lincoln,312,,Played,
1012,nfl,20221120,2022-11-20,mahomes,kc,highmark,300,4,Played,
1013,nfl,20221127,2022-11-27,allen,buf,lincoln,173,0,Played,
1014,nfl,20221204,2022-12-04,prescott,dal,highmark,337,,Played,
1015,nfl,20221210,2022-12-10,mahomes,kc,arrowhead,173,1,Played,
1016,nfl,20221217,2022-12-17,tua,mia,arrowhead,197,2,Played,
1017,nfl,20221224,2022-12-24,stroud,hou,arrowhead,183,5,Played,
1018,nfl,20221231,2022-12-31,stroud,hou,mandt,275,,Played,
1019,nfl,20230906,2023-09-06,tua,mia,mandt,165,1,Played,
1020,nfl,20230912,2023-09-12,stroud,hou,arrowhead,194,5,Played,
1021,nfl,20230919,2023-09-19,stroud,hou,lincoln,0,1,Cancelled,
1022,nfl,20230926,2023-09-26,mahomes,kc,highmark,368,4,Played,
1023,nfl,20231003,2023-10-03,hurts,phi,mandt,419,5,Played,
1024,nfl,20231009,2023-10-09,tua,mia,arrowhead,388,1,Played,
1025,nfl,20231016,2023-10-16,prescott,dal,mandt,357,1,Played,
